provincia,canton,codigo_canton,total_homicidios,latitud,longitud,femicidios,asesinatos,sicariatos,homicidios_2023,homicidios_2024,homicidios_2025,homicidios_2026,poblacion_miles,homicide_rate_2024,homicide_rate_2025,homicide_rate_2026_proj,local_moran_i,lisa_quadrant,gi_star_z,gi_p_value,hotspot_label
Cañar,Biblián,302,13,-2.7050908495135157,-78.89540691747051,1,8,0,1,0,5,0,50,0.0,10.0,0.0,-0.0115,High outlier (HL),-0.8583,0.3908,not significant
Cañar,Cañar,303,22,-2.4672563234627245,-79.07482826111818,2,16,0,2,3,4,2,50,6.0,8.0,8.0,0.13,Coldspot (LL),-1.3883,0.165,not significant
Cañar,Déleg,306,8,-2.760978874999997,-78.92124749999999,0,8,0,0,3,1,0,50,6.0,2.0,0.0,0.1145,Coldspot (LL),-0.2551,0.7987,not significant
Cañar,El Tambo,305,4,-2.5109809184379275,-78.93296249897443,0,3,0,1,0,0,0,50,0.0,0.0,0.0,0.8942,Coldspot (LL),-1.4495,0.1472,not significant
Cañar,La Troncal,304,564,-2.3401664484826936,-77.51239085475017,3,521,6,97,97,79,44,50,194.0,158.0,176.0,1.5596,Hotspot (HH),1.793,0.073,hotspot (90%)
Cañar,Suscal,307,1,-2.46361499999999,-79.065383,0,1,0,0,0,0,0,50,0.0,0.0,0.0,0.1443,Coldspot (LL),-0.1058,0.9157,not significant
Chimborazo,Alausí,602,16,-2.2243014355636026,-78.87171580312257,1,14,0,1,0,1,0,50,0.0,2.0,0.0,0.8337,Coldspot (LL),-1.4846,0.1376,not significant
Chimborazo,Chambo,604,5,-1.3901397999999978,-62.8745388,2,1,0,0,1,1,0,50,2.0,2.0,0.0,0.8718,Coldspot (LL),-1.6437,0.1002,not significant
Chimborazo,Chunchi,605,3,-2.299438240345824,-78.90453028790733,0,1,0,0,0,0,0,50,0.0,0.0,0.0,1.0065,Coldspot (LL),-1.0557,0.2911,not significant
Chimborazo,Colta,603,8,-1.3022175625,-59.093275125,2,3,0,0,1,1,0,50,2.0,2.0,0.0,0.4355,Coldspot (LL),-0.7842,0.4329,not significant
